unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
0;cream cheese;krim keju;51;5.0;2.9;1.3;0.2;0.8;0.5;0.9;0.0;14.6;0.016;7.6;0.2;0.033;0.064;0.092;0.097;0.084;0.052;0.096;0.004;0.0;0.0;0.1;0.008;14.1;0.082;0.027;1.3;0.091;15.5;19.1;0.039;7.07
1;neufchatel cheese;keju neufchatel;215;19.4;10.9;4.9;0.8;3.1;2.7;7.8;0.0;62.9;0.3;53.6;0.2;0.099;0.079;0.09;0.1;0.2;0.5;0.078;0.0;0.0;0.3;0.045;99.5;0.034;0.1;8.5;0.088;117.3;129.2;0.054;0.7;130.1
2;requeijao cremoso light catupiry;Requeijao Cremoso Light Catupiry;49;3.6;2.3;0.9;0.0;0.9;3.4;0.8;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4
3;ricotta cheese;Keju ricotta;30;2.0;1.3;0.5;0.002;1.5;0.091;1.5;0.0;9.8;0.017;14.7;0.075;0.019;0.079;0.091;0.027;0.041;0.016;0.007;0.006;0.0;0.001;0.011;0.097;41.2;0.097;0.096;4.0;0.024;30.8;43.8;0.035;5.196
4;cream cheese low fat;krim keju rendah lemak;30;2.3;1.4;0.6;0.042;1.2;0.9;1.2;0.0;8.1;0.046;10.0;0.016;0.08;0.062;0.049;0.026;0.08;0.1;0.003;0.0;0.036;0.009;0.019;22.2;0.072;0.008;1.2;0.098;22.8;37.1;0.034;0.053;27.007
5;cream cheese fat free;krim keju bebas lemak;19;0.2;0.1;0.091;0.075;1.4;1.0;2.8;0.0;2.2;0.1;12.9;0.063;0.02;0.089;0.092;0.021;0.025;0.2;0.038;0.0;0.0;0.049;0.059;63.2;0.039;0.053;4.0;0.028;94.1;50.0;0.013;0.3;67.679
6;gruyere cheese;Keju Gruyere;116;9.1;5.3;2.8;0.5;0.1;0.1;8.3;0.0;30.8;0.2;9.3;0.061;0.021;0.072;0.078;0.004;0.043;0.2;0.051;0.0;0.034;0.035;0.048;283.1;0.033;0.094;10.1;0.002;169.4;22.7;0.079;1.1;300.694
7;cheddar cheese;keju cheddar;113;9.3;5.3;2.6;0.3;0.9;0.1;6.4;0.0;27.7;0.2;10.3;0.054;0.031;0.005;0.073;0.1;0.01;0.1;0.005;0.0;0.06;0.2;0.035;198.8;0.099;0.077;7.6;0.063;127.4;21.3;0.009;1.0;215.53
8;parmesan cheese;Keju Parmesan;71;4.5;2.7;1.4;0.1;0.6;0.046;6.4;0.0;12.2;0.2;5.4;0.067;0.062;0.099;0.059;0.057;0.039;0.06;0.066;0.0;0.095;0.018;0.021;213.1;0.051;0.1;7.9;0.073;124.9;16.6;0.045;0.5;224.777
9;romano cheese;Keju Romano;19;1.3;0.9;0.4;0.035;0.2;0.088;1.6;0.0;5.2;0.008;1.5;0.064;0.058;0.026;0.045;0.059;0.055;0.025;0.029;0.0;0.073;0.078;0.004;53.2;0.046;0.03;2.1;0.002;38.0;4.3;0.087;0.1;56.38
